CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLAGU0001RNL21,PRESA NATILLAS DE ABAJO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,RiO SAN PEDRO,PRESA NATILLAS DE ABAJO,LeNTICO,PRESA,"-10,231,390","2,237,292",2012-2021,"23,2",Aceptable,48,Contaminada,50,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,ND,ND,ND,ND,SI,LENTICO
DLCHI289,"KM 0+000, PUENTE INTERNACIONAL CIUDAD JUAREZ",RIO BRAVO,CHIHUAHUA,JUaREZ,RiO BRAVO 1,RIO BRAVO,LÓTICO,RiO,"-10,650,990","3,176,070",2012-2021,"5,435",Buena calidad,"44,575",Contaminada,100,Aceptable,4600,Contaminada,150,Buena calidad,,,"69,8",Buena calidad,,,,,,,"1,6",Toxicidad moderada,"8,6",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,TOX_L,",SI,NO,SI,NO,SI,ND,SI,NO,LOTICO
DLCHI290,RIO BRAVO 19,RIO BRAVO,CHIHUAHUA,JUaREZ,RiO BRAVO 1,RIO BRAVO,LÓTICO,RiO,"-10,652,870","3,178,170",2012-2021,"3,26",Buena calidad,"267,512",Aceptable,"170,835",Contaminada,"6251,5",Contaminada,"98,5",Excelente,,,"104,85",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"SST,CF,",SI,SI,NO,NO,SI,ND,SI,SI,LOTICO
DLCHI294,PLANTA NORTE,RIO BRAVO,CHIHUAHUA,JUaREZ,RiO BRAVO 1,CANAL,LÓTICO,CANAL,"-10,637,040","3,170,936",2012-2021,"3,45",Buena calidad,42,Contaminada,11,Excelente,"192,5",Buena calidad,4,Excelente,,,"80,05",Excelente,,,,,,,"9,8",Toxicidad alta,"8,0",Toxicidad alta,,,,,,,,,Rojo,"DQO,TOX_L,",SI,NO,SI,SI,SI,ND,SI,NO,LOTICO
DLCHI295,PLANTA SUR,RIO BRAVO,CHIHUAHUA,JUaREZ,RiO BRAVO 1,CANAL,LÓTICO,CANAL,"-10,633,230","3,164,078",2012-2021,"3,9",Buena calidad,"58,65",Contaminada,22,Excelente,180,Buena calidad,"3,5",Excelente,,,"73,3",Excelente,,,,,,,"86,0",Toxicidad alta,"50,3",Toxicidad alta,,,,,,,,,Rojo,"DQO,TOX_L,",SI,NO,SI,SI,SI,ND,SI,NO,LOTICO
DLCHI298,LOMA BLANCA,RIO BRAVO,CHIHUAHUA,JUaREZ,RiO BRAVO 1,CANAL,LÓTICO,CANAL,"-10,629,150","3,157,044",2012-2021,"13,98",Aceptable,"66,1",Contaminada,"49,165",Buena calidad,24000,Fuertemente contaminada,1215,Fuertemente contaminada,,,"16,95",Contaminada,,,,,,,<1,No Toxico,"5,9",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,TOX_L,",SI,NO,SI,NO,NO,ND,NO,NO,LOTICO
DLCHI299,GUADALUPE,RIO BRAVO,CHIHUAHUA,GUADALUPE,RiO BRAVO 1,CANAL,LÓTICO,CANAL,"-10,611,747","3,139,817",2012-2021,"10,5",Aceptable,"65,315",Contaminada,"54,69",Buena calidad,24000,Fuertemente contaminada,11000,Fuertemente contaminada,,,"24,95",Contaminada,,,,,,,<1,No Toxico,"2,8",Toxicidad moderada,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,",SI,NO,SI,NO,NO,ND,NO,SI,LOTICO
DLCHI308,RIO PARRAL,RIO BRAVO,CHIHUAHUA,HIDALGO DEL PARRAL,RiO PARRAL,RIO PARRAL,LÓTICO,RiO,"-10,563,465","2,695,994",2012-2021,"21,4",Aceptable,"115,29",Contaminada,45,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"19,9",Contaminada,,,,,,,"3,1",Toxicidad moderada,"31,6",Toxicidad alta,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,TOX_L,",SI,NO,SI,NO,NO,ND,NO,NO,LOTICO
DLCHI310,RIO CASAS GRANDES 6,RIO BRAVO,CHIHUAHUA,CASAS GRANDES,RiO CASAS GRANDES 2,RIO CASAS GRANDES,LÓTICO,RiO,"-10,797,380","3,024,881",2012-2021,<2,Excelente,"159,992",Buena calidad,"12,835",Excelente,1871,Contaminada,36,Excelente,,,"86,665",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLCHI319,TINTERO 4,RIO BRAVO,CHIHUAHUA,NAMIQUIPA,RiO SANTA MARiA 1,RIO SANTA MARIA,LeNTICO (HUMEDAL),PRESA,"-10,738,206","2,954,297",2012-2021,<2,Excelente,<10,Excelente,"44,41",Buena calidad,272,Aceptable,"5,75",Excelente,,,,,"95,9",Excelente,88,Excelente,79,Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI320,LAS LAJAS 3,RIO BRAVO,CHIHUAHUA,BUENAVENTURA,RiO DEL CARMEN 1,RIO DEL CARMEN,LeNTICO (HUMEDAL),PRESA,"-10,703,531","2,988,257",2012-2021,<2,Excelente,"18,39",Buena calidad,"123,33",Aceptable,350,Aceptable,20,Excelente,,,,,"105,2",Excelente,"86,2",Excelente,"66,2",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI321,LAS LAJAS 2,RIO BRAVO,CHIHUAHUA,BUENAVENTURA,RiO DEL CARMEN 1,RIO DEL CARMEN,LeNTICO (HUMEDAL),PRESA,"-10,704,983","2,988,464",2012-2021,<2,Excelente,"13,25",Buena calidad,"106,67",Aceptable,261,Aceptable,10,Excelente,,,,,"91,7",Excelente,"89,4",Excelente,"89,1",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI322,LAS LAJAS 1,RIO BRAVO,CHIHUAHUA,BUENAVENTURA,RiO DEL CARMEN 1,RIO DEL CARMEN,LeNTICO,PRESA,"-10,705,948","2,987,745",2012-2021,2,Excelente,"24,24",Aceptable,135,Aceptable,262,Aceptable,75,Excelente,,,,,"90,95",Excelente,"90,4",Excelente,"74,6",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLCHI323,TINTERO 3,RIO BRAVO,CHIHUAHUA,NAMIQUIPA,RiO SANTA MARiA 1,RIO SANTA MARIA,LeNTICO (HUMEDAL),PRESA,"-10,736,957","2,952,869",2012-2021,<2,Excelente,"19,3",Buena calidad,"65,5",Buena calidad,203,Aceptable,<3,Excelente,,,,,"98,3",Excelente,"93,3",Excelente,"76,9",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
